Title	Original Title	Type	Release year	Rating	Watch date	Comments	
Pocahontas		Film	1995	2	18/04/2017		
Pocahontas II: Journey to a New World		Film	1998	2	19/04/2017		
Aladdin and the King of Thieves		Film	1995	3	20/04/2017		
Beauty and the Beast		Film	1991	3	20/04/2017		
Hurricane Bianca		Film	2016	3	21/04/2017		
Oliver & Company		Film	1988	3	22/04/2017		
Sausage Party		Film	2016	3	23/04/2017		
Brother Bear		Film	2003	3	24/04/2017		
Brother Bear 2		Film	2006	3	25/04/2017		
Se7en		Film	1995	3	26/04/2017		
The Hunchback of Notre Dame		Film	1996	2	27/04/2017		
The Hunchback of Notre Dame II		Film	2002	2	27/04/2017		
A Bug's Life		Film	1998	3	28/04/2017		
Fritz the Cat		Film	1972	2	29/04/2017		
Toy Story		Film	1995	3	30/04/2017		
Toy Story 2		Film	1999	3	01/05/2017		
Toy Story 3		Film	2010	3	02/05/2017		
Cars		Film	2006	3	03/05/2017		
Cars 2		Film	2011	3	04/05/2017		
Pet		Film	2016	3	05/05/2017		
Planes		Film	2013	3	05/05/2017		
Planes: Fire & Rescue		Film	2014	3	06/05/2017		
Inside Out		Film	2015	3	07/05/2017		
Monsters, Inc.		Film	2001	3	08/05/2017		
Monsters University		Film	2013	3	09/05/2017		
Whiskey Tango Foxtrot		Film	2016	3	10/05/2017		
The Naked Gun: From the Files of Police Squad!		Film	1988	3	11/05/2017		
The Naked Gun 2½: The Smell of Fear		Film	1991	3	12/05/2017		
The\ Naked Gun 33 1/3: The Final Insult		Film	1994	3	13/05/2017		
Big Hero 6		Film	2014	3	13/05/2017		
How to Train Your Dragon		Film	2010	3	14/05/2017		
How to Train Your Dragon 2		Film	2014	3	15/05/2017		
The Call		Film	2013	4	16/05/2017		
The Autopsy of Jane Doe		Film	2016	4	17/05/2017		
The Prestige		Film	2006	4	18/05/2017		
Pulp Fiction		Film	1994	2	19/05/2017		
Shutter Island		Film	2010	3	20/05/2017		
Hannibal Lecter/ The Silence of the Lambs		Film	1991	2	21/05/2017		
Schindler's List		Film	1993	4	21/05/2017		
Inglourious Basterds		Film	2009	3	22/05/2017		
The Big Lebowski		Film	1998	1	23/05/2017		
The Cell		Film	2000	2	24/05/2017		
Cast Away		Film	2000	2	25/05/2017		
Harry Potter and the Philosopher's Stone		Film	2001	4	26/05/2017		
Harry Potter and the Chamber of Secrets		Film	2002	3	27/05/2017		
Harry Potter and the Prisoner of Azkaban		Film	2004	3	28/05/2017		
Harry Potter and the Goblet of Fire		Film	2005	3	29/05/2017		
Harry Potter and the Order of the Phoenix		Film	2007	3	29/05/2017		
Harry Potter and the Half-Blood Prince		Film	2009	3	30/05/2017		
Harry Potter and the Deathly Hallows – Part 1		Film	2010	4	31/05/2017		
Harry Potter and the Deathly Hallows – Part 2		Film	2011	4	01/06/2017		
Forrest Gump		Film	1994	3	02/06/2017		
The Shawshank Redemption		Film	1994	3	03/06/2017		
Django Unchained		Film	2012	4	04/06/2017		
Interstellar		Film	2014	3	05/06/2017		
The Godfather		Film	1972	1	05/06/2017		
The Godfather: Part II		Film	1974	1	06/06/2017		
The Godfather: Part III		Film	1990	1	07/06/2017		
A.I. Artificial Intelligence		Film	2001	2	08/06/2017		
Gothika		Film	2003	2	09/06/2017		
The Conversation		Film	1974	2	10/06/2017		
Meet the Robinsons		Film	2007	2	11/06/2017		
Atlantis: The Lost Empire		Film	2001	3	12/06/2017		
Atlantis: Milo's Return		Film	2003	1	13/06/2017		
Passengers		Film	2016	4	13/06/2017		
Wreck-It Ralph		Film	2012	3	14/06/2017		
Happy Feet		Film	2006	2	15/06/2017		
Happy Feet Two		Film	2011	2	16/06/2017		
The Emperor's New Groove		Film	2000	3	17/06/2017		
The Emperor's New Groove\ Kronk's New Groove		Film	2005	1	18/06/2017		
Lilo & Stitch		Film	2002	2	19/06/2017		
Lilo & Stitch\ Stitch! The Movie		Film	2003	2	20/06/2017		
Lilo & Stitch 2: Stitch Has a Glitch		Film	2005	2	21/06/2017		
Lilo & Stitch\ Leroy & Stitch		Film	2006	2	21/06/2017		
Fantastic Beasts and Where to Find Them		Film	2016	3	22/06/2017		
101 Dalmatians		Film	1961	3	23/06/2017		
101 Dalmatians II: Patch's London Adventure		Film	2003	3	24/06/2017		
Moana		Film	2016	3	25/06/2017		
The Rescuers		Film	1977	3	26/06/2017		
The Rescuers Down Under		Film	1990	3	27/06/2017		
The Game		Film	1997	4	28/06/2017		
Max Steel		Film	2016	3	29/06/2017		
Assassin's Creed		Film	2016	2	29/06/2017		
Love and Other Disasters		Film	2006	2	30/06/2017		
The AristoCats		Film	1970	2	01/07/2017		
The Lord of the Rings: The Fellowship of the Ring		Film	2001	4	02/07/2017		
The Lord of the Rings: The Two Towers		Film	2002	4	03/07/2017		
The Lord of the Rings: The Return of the King		Film	2003	4	04/07/2017		
All Dogs Go to Heaven		Film	1989	2	05/07/2017		
All Dogs Go to Heaven 2		Film	1996	2	06/07/2017		
The Hobbit: An Unexpected Journey		Film	2012	3	07/07/2017		
The Hobbit: The Desolation of Smaug		Film	2013	3	07/07/2017		
The Hobbit: The Battle of the Five Armies		Film	2014	3	08/07/2017		
Aladdin		Film	1992	2	09/07/2017		
The Princess and the Frog		Film	2009	2	10/07/2017		
Akira		Anime Film	1988	3	11/07/2017		
Doctor Strange		Film	2016	1	12/07/2017		
Zodiac		Film	2007	3	13/07/2017		
Wasabi		Film	2001	2	14/07/2017		
Bambi		Film	1942	2	14/07/2017		
Bambi II		Film	2006	2	15/07/2017		
Alice in Wonderland		Film	1951	3	16/07/2017		
Alice in Wonderland		Film	2010	3	17/07/2017		
Alice Through the Looking Glass		Film	2016	3	18/07/2017		
The Goonies		Film	1985	2	19/07/2017		
Eat Pray Love		Film	2010	2	20/07/2017		
Like Crazy		Film	2011	2	21/07/2017		
Pinocchio		Film	1940	1	22/07/2017		
The Curious Case of Benjamin Button		Film	2008	2	22/07/2017		
Jerry Maguire		Film	1996	2	23/07/2017		
The Social Network		Film	2010	2	24/07/2017		
The Girl with the Dragon Tattoo		Film	2009	2	25/07/2017		
The Girl with the Dragon Tattoo		Film	2011	2	26/07/2017		
Gone Girl		Film	2014	4	27/07/2017		
Good Will Hunting		Film	1997	2	28/07/2017		
Mrs. Doubtfire		Film	1993	3	29/07/2017		
Brokeback Mountain		Film	2005	2	30/07/2017		
The Notebook		Film	2004	2	30/07/2017		
Under the Tuscan Sun		Film	2003	2	31/07/2017		
Blue Valentine		Film	2010	2	01/08/2017		
The Departed		Film	2006	3	02/08/2017		
Enchanted		Film	2007	1	03/08/2017		
All Good Things		Film	2010	2	04/08/2017		
Primal Fear		Film	1996	3	05/08/2017		
Scream		Film	1996	3	06/08/2017		
Watchmen		Film	2009	3	07/08/2017		
Scream 2		Film	1997	3	07/08/2017		
Training Day		Film	2001	3	08/08/2017		
Scream 3		Film	2000	3	09/08/2017		
The Talented Mr. Ripley		Film	1999	2	10/08/2017		
Scream 4		Film	2011	3	11/08/2017		
Assassins		Film	1995	2	12/08/2017		
Divergent\		Film	2014	3	13/08/2017		
Divergent\ Insurgent		Film	2015	3	14/08/2017		
Divergent\ Allegiant		Film	2016	3	15/08/2017		
Batman: The Movie		Film	1966	1	15/08/2017		
The Guest		Film	2014	2	16/08/2017		
Batman		Film	1989	3	17/08/2017		
Man of Tai Chi		Film	2013	2	18/08/2017		
Batman Returns		Film	1992	3	19/08/2017		
