Title	Original Title	Type	Release year	Rating	Watch date	Comments	
Revenge of the Nerds III: The Next Generation		Film	1992	2	13/04/2018		
Revenge of the Nerds IV: Nerds in Love		Film	1994	2	13/04/2018		
50/50		Film	2011	4	14/04/2018		
Rocky		Film	1976	2	15/04/2018		
Rocky II		Film	1979	2	16/04/2018		
Rocky III		Film	1982	2	17/04/2018		
Rocky IV		Film	1985	2	18/04/2018		
Rocky V		Film	1990	3	19/04/2018		
Rocky Balboa		Film	2006	3	20/04/2018		
Requiem for a Dream		Film	2000	1	21/04/2018		
Boys Don't Cry		Film	1999	3	21/04/2018		
Stalker		Film	1979	1	22/04/2018		
The Signal		Film	2014	4	23/04/2018		
Romeo and Juliet		Film	1968	3	24/04/2018		
The Son of Bigfoot		Film	2017	2	25/04/2018		
The Intern		Film	2015	2	26/04/2018		
The Princess Bride		Film	1987	3	27/04/2018		
Josie and the Pussycats		Film	2001	2	28/04/2018		
The Thomas Crown Affair		Film	1968	3	29/04/2018		
Pain & Gain		Film	2013	4	29/04/2018		
Aladdin/ The Return of Jafar		Film	1994	1	30/04/2018		
Kubo and the Two Strings		Film	2016	1	01/05/2018		
Friends with Kids		Film	2011	3	02/05/2018		
15 Minutes		Film	2001	2	03/05/2018		
The Shack		Film	2017	3	04/05/2018		
Superman		Film	1978	2	05/05/2018		
Superman II		Film	1980	3	06/05/2018		
Superman III		Film	1983	1	06/05/2018		
Superman IV: The Quest for Peace		Film	1987	2	07/05/2018		
Superman Returns		Film	2006	4	08/05/2018		
Man of Steel		Film	2013	4	09/05/2018		
Excalibur		Film	1981	4	10/05/2018		
Kiss Kiss Bang Bang		Film	2005	3	11/05/2018		
The Boy		Film	2016	3	12/05/2018		
Dreamgirls		Film	2006	1	13/05/2018		
Alien		Film	1979	3	14/05/2018		
Aliens		Film	1986	4	14/05/2018		
Alien³		Film	1992	4	15/05/2018		
Alien: Resurrection		Film	1997	4	16/05/2018		
Alien\ Prometheus		Film	2012	1	17/05/2018		
Alien: Covenant		Film	2017	1	18/05/2018		
Wedding Crashers		Film	2005	3	19/05/2018		
Othello		Film	1951	3	20/05/2018		
Breakfast at Tiffany's		Film	1961	1	21/05/2018		
Identity		Film	2003	2	22/05/2018		
The Tempest		Film	2010	1	22/05/2018		
Guest House Paradiso		Film	1999	2	23/05/2018		
Back to the Future		Film	1985	3	24/05/2018		
Back to the Future Part II		Film	1989	3	25/05/2018		
Back to the Future Part III		Film	1990	2	26/05/2018		
The Single Moms Club		Film	2014	3	27/05/2018		
Misery		Film	1990	3	28/05/2018		
Kids		Film	1995	1	29/05/2018		
Kabhi Khushi Kabhie Gham		Film	2001	2	30/05/2018		
A Nightmare on Elm Street		Film	1984	2	30/05/2018		
A Nightmare on Elm Street 2: Freddy's Revenge		Film	1985	2	31/05/2018		
A Nightmare on Elm Street 3: Dream Warriors		Film	1987	2	01/06/2018		
A Nightmare on Elm Street 4: The Dream Master		Film	1988	2	02/06/2018		
A Nightmare on Elm Street 5: The Dream Child		Film	1989	2	03/06/2018		
Freddy's Dead: The Final Nightmare		Film	1991	2	04/06/2018		
Wes Craven's New Nightmare		Film	1994	3	05/06/2018		
Freddy vs. Jason		Film	2003	2	06/06/2018		
A Nightmare on Elm Street		Film	2010	3	07/06/2018		
Collateral Damage		Film	2002	2	07/06/2018		
Mary Poppins		Film	1964	1	08/06/2018		
Moon		Film	2009	2	09/06/2018	watch again, and update ratings	
Prisoners		Film	2013	3	10/06/2018		
The Cabin in the Woods		Film	2012	3	11/06/2018		
The Parent Trap		Film	1998	3	12/06/2018		
Wet Hot American Summer		Film	2001	2	13/06/2018		
Pretty in Pink		Film	1986	3	14/06/2018		
A Fistful of Fingers		Film	1995	1	14/06/2018		
A Cure for Wellness		Film	2016	3	15/06/2018		
The Crying Game		Film	1992	1	16/06/2018		
DuckTales the Movie: Treasure of the Lost Lamp		Film	1990	2	17/06/2018		
Pete's Dragon		Film	2016	2	18/06/2018		
The Invisible Guest	Contratiempo	Film	2017	4	19/06/2018		
Into the Woods		Film	2014	1	20/06/2018		
Layer Cake		Film	2004	1	21/06/2018		
The Crush		Film	1993	2	22/06/2018		
Saving Mr. Banks		Film	2013	2	22/06/2018		
Snowpiercer		Film	2013	4	23/06/2018		
28 Days Later...		Film	2002	3	24/06/2018		
Next		Film	2007	3	25/06/2018		
Legion		Film	2010	1	26/06/2018		
The Best Offer		Film	2013	3	27/06/2018		
About Time		Film	2013	4	28/06/2018		
Elizabeth		Film	1998	3	29/06/2018		
The Man from Earth		Film	2007	2	30/06/2018		
The Green Mile		Film	1999	4	30/06/2018		
Enemy		Film	2013	2	01/07/2018		
American Mary		Film	2012	3	02/07/2018		
21 Jump Street		Film	2012	1	03/07/2018		
Meet the Fockers		Film	2004	3	04/07/2018		
The Iron Lady		Film	2011	2	05/07/2018		
Inside Llewyn Davis		Film	2013	1	06/07/2018		
Hamlet		Film	1996	3	07/07/2018		
Kill Me Three Times		Film	2014	3	08/07/2018		
Elizabeth: The Golden Age		Film	2007	3	08/07/2018		
The Earth Dies Screaming		Film	1964	3	09/07/2018		
The Man from U.N.C.L.E.		Film	2015	4	10/07/2018		
Leap Year		Film	2010	2	11/07/2018		
Brazil		Film	1985	2	12/07/2018		
Julia's Eyes	Los ojos de Julia	Film	2010	3	13/07/2018		
The Body	El cuerpo	Film	2012	4	14/07/2018		
Boy Missing	Secuestro	Film	2016	4	15/07/2018		
Coherence		Film	2013	4	16/07/2018		
Buried Alive		Film	1990	2	16/07/2018		
Oldboy		Film	2003	2	17/07/2018		
The Majestic		Film	2001	3	18/07/2018		
The Mist		Film	2007	3	19/07/2018		
2001: A Space Odyssey		Film	1968	1	20/07/2018		
2010: The Year We Make Contact		Film	1984	2	21/07/2018		
Planet of the Apes\ Planet of the Apes		Film	1968	3	22/07/2018		
Planet of the Apes\ Beneath the Planet of the Apes		Film	1970	3	23/07/2018		
Planet of the Apes\ Escape from the Planet of the Apes		Film	1971	4	23/07/2018		
Planet of the Apes\ Conquest of the Planet of the Apes		Film	1972	3	24/07/2018		
Planet of the Apes\ Battle for the Planet of the Apes		Film	1973	3	25/07/2018		
Planet of the Apes\ Planet of the Apes		Film	2001	2	26/07/2018		
Planet of the Apes\ Rise of the Planet of the Apes		Film	2011	3	27/07/2018		
Planet of the Apes\ Dawn of the Planet of the Apes		Film	2014	4	28/07/2018		
Planet of the Apes\ War for the Planet of the Apes		Film	2017	4	29/07/2018		
The Twilight Saga\ Twilight		Film	2008	1	30/07/2018		
The Twilight Saga\ New Moon		Film	2009	1	31/07/2018		
The Twilight Saga\ Eclipse		Film	2010	2	31/07/2018		
The Twilight Saga\ Breaking Dawn – Part 1		Film	2011	2	01/08/2018		
The Twilight Saga\ Breaking Dawn – Part 2		Film	2012	3	02/08/2018		
The Fast and the Furious\ The Fast and the Furious		Film	2001	2	03/08/2018		
The Fast and the Furious\ 2 Fast 2 Furious		Film	2003	2	04/08/2018		
The Fast and the Furious\ Tokyo Drift		Film	2006	1	05/08/2018		
The Fast and the Furious\ Fast & Furious		Film	2009	3	06/08/2018		
The Fast and the Furious\ Fast Five		Film	2011	4	07/08/2018		
The Fast and the Furious\ Fast & Furious 6		Film	2013	4	08/08/2018		
The Fast and the Furious\ Furious 7		Film	2015	4	08/08/2018		
The Fast and the Furious\ The Fate of the Furious		Film	2017	4	09/08/2018		
Carnage		Film	2011	3	10/08/2018		
Primer		Film	2004	1	11/08/2018		
Incredibles 2		Film	2018	3	12/08/2018		
Tomorrowland		Film	2015	2	13/08/2018		
Slipstream		Film	2005	2	14/08/2018		
Hannibal Lecter/ Manhunter		Film	1986	2	15/08/2018		
Hannibal Lecter/ Hannibal		Film	2001	3	16/08/2018		
Hannibal Lecter/ Red Dragon		Film	2002	3	16/08/2018		
Hannibal Lecter/ Hannibal Rising		Film	2007	2	17/08/2018		
28 Weeks Later		Film	2007	1	18/08/2018		
The Forest		Film	2016	1	19/08/2018	the worst	
Lost Highway		Film	1997	1	20/08/2018		
Donnie Darko		Film	2001	3	21/08/2018		
S. Darko		Film	2009	1	22/08/2018		
Mulholland Dr.		Film	2001	1	23/08/2018		
Eraserhead		Film	1977	2	24/08/2018		
G-Force		Film	2009	3	24/08/2018		
Goat		Film	2016	1	25/08/2018		
Lock, Stock and Two Smoking Barrels		Film	1998	2	26/08/2018		
Snatch		Film	2000	3	27/08/2018		
King Cobra		Film	2016	2	28/08/2018		
Revolver		Film	2005	1	29/08/2018		
Jane Eyre		Film	2011	2	30/08/2018		
The Time Traveler's Wife		Film	2009	4	31/08/2018		
Ever After: A Cinderella Story		Film	1998	4	31/08/2018		
Serendipity		Film	2001	3	01/09/2018		
Emma		Film	1996	2	02/09/2018		
The Wedding Singer		Film	1998	3	03/09/2018		
Black Panther		Film	2018	2	04/09/2018		
RocknRolla		Film	2008	3	05/09/2018		
Sherlock Holmes		Film	2009	2	06/09/2018		
Sherlock Holmes: A Game of Shadows		Film	2011	3	07/09/2018		
Big Fish		Film	2003	2	08/09/2018		
Swept Away		Film	2002	1	08/09/2018		
High Fidelity		Film	2000	1	09/09/2018		
King Arthur: Legend of the Sword		Film	2017	2	10/09/2018		
Pan Wołodyjowski		Film	1969	2	11/09/2018		
Potop		Film	1974	1	12/09/2018		
Ogniem i mieczem		Film	1999	3	13/09/2018		
The Colony		Film	2013	2	14/09/2018		
Man Up		Film	2015	4	15/09/2018		
The Great Escape		Film	1963	3	16/09/2018		
The Specialist		Film	1994	2	16/09/2018		
Ghostbusters		Film	1984	2	17/09/2018		
Ghostbusters II		Film	1989	2	18/09/2018		
Ghostbusters		Film	2016	1	19/09/2018		
1408		Film	2007	3	20/09/2018		
Rise of the Guardians		Film	2012	2	21/09/2018		
The Way, Way Back		Film	2013	3	22/09/2018		
Epic		Film	2013	3	23/09/2018		
Amélie		Film	2001	1	24/09/2018		
Save the Last Dance		Film	2001	3	24/09/2018		
The NeverEnding Story		Film	1984	2	25/09/2018		
The NeverEnding Story II: The Next Chapter		Film	1990	1	26/09/2018		
The NeverEnding Story III		Film	1994	2	27/09/2018		
Big Nothing		Film	2006	4	28/09/2018		
Super Mario Bros.		Film	1993	2	29/09/2018		
Jumanji		Film	1995	3	30/09/2018		
Zathura: A Space Adventure		Film	2005	3	01/10/2018		
Jumanji: Welcome to the Jungle		Film	2017	3	02/10/2018		
Open Season		Film	2006	3	02/10/2018		
Open Season 2		Film	2008	3	03/10/2018		
Open Season 3		Film	2010	3	04/10/2018		
Open Season: Scared Silly		Film	2015	2	05/10/2018		
The Butler		Film	2013	4	06/10/2018		
Wrong Turn		Film	2003	2	07/10/2018		
Wrong Turn 2: Dead End		Video	2007	3	08/10/2018		
How High		Film	2001	2	09/10/2018		
Wrong Turn 3: Left for Dead		Film	2009	2	09/10/2018		
Wrong Turn 4: Bloody Beginnings		Film	2011	2	10/10/2018		
Julius Caesar		Film	1953	2	11/10/2018		
24 Hour Party People		Film	2002	1	12/10/2018		
She's the One		Film	1996	2	13/10/2018		
The Holiday		Film	2006	3	14/10/2018		
Just Friends		Film	2005	4	15/10/2018		
Wrong Turn 5: Bloodlines		Film	2012	3	16/10/2018		
Wrong Turn 6: Last Resort		Film	2014	1	17/10/2018		
Bionicle: Mask of Light		Video	2003	3	17/10/2018		
Bionicle 2: Legends of Metru Nui		Film	2004	3	18/10/2018		
Bionicle 3: Web of Shadows		Film	2005	2	19/10/2018		
Bionicle: The Legend Reborn		Film	2009	3	20/10/2018		
Captain America: The First Avenger		Film	2011	3	21/10/2018		
The 40-Year-Old Virgin		Film	2005	2	22/10/2018		
Who Framed Roger Rabbit		Film	1988	1	23/10/2018		
Silent Hill		Film	2006	3	24/10/2018		
Silent Hill: Revelation		Film	2012	2	25/10/2018		
The Good Dinosaur		Film	2015	1	25/10/2018		
Absolutely Anything		Film	2015	2	26/10/2018		
Forgetting Sarah Marshall		Film	2008	3	27/10/2018		
Chicago		Film	2002	3	28/10/2018		
The Village		Film	2004	2	29/10/2018		
Pete's Dragon		Film	1977	2	30/10/2018		
Dope		Film	2015	2	31/10/2018		
The Little Mermaid		Film	1989	2	01/11/2018		
The Little Mermaid II: Return to the Sea		Film	2000	1	02/11/2018		
The Little Mermaid: Ariel's Beginning		Film	2008	1	02/11/2018		
The Little Mermaid		Film	2018	1	03/11/2018		
Letters to Juliet		Film	2010	2	04/11/2018		
Victoria & Abdul		Film	2017	2	05/11/2018		
The Island		Film	2005	3	06/11/2018		
Darkest Hour		Film	2017	3	07/11/2018		
Dumb and Dumber		Film	1994	2	08/11/2018		
Dumb and Dumberer: When Harry Met Lloyd		Film	2003	2	09/11/2018		
Dumb and Dumber To		Film	2014	2	10/11/2018		
The Road		Film	2009	1	10/11/2018		
Source Code		Film	2011	2	11/11/2018		
Maya the Bee Movie		Film	2014	1	12/11/2018		
Murder on the Orient Express		Film	1974	2	13/11/2018		
Murder on the Orient Express		Film	2017	2	14/11/2018		
John Wick		Film	2014	2	15/11/2018		
John Wick: Chapter 2		Film	2017	2	16/11/2018		
Rare Exports		Film	2010	2	17/11/2018		
1922		Film	2017	1	17/11/2018		
Ocean's Eight		Film	2018	3	18/11/2018		
Despicable Me		Film	2010	1	19/11/2018		
Despicable Me 2		Film	2013	1	20/11/2018		
Minions		Film	2015	1	21/11/2018		
Despicable Me 3		Film	2017	1	22/11/2018		
A Wrinkle in Time		Film	2018	2	23/11/2018		
Hurricane Bianca: From Russia with Hate		Film	2018	3	24/11/2018		
The Devil and Miss Jones		Film	1941	4	25/11/2018		
Henry V		Film	1989	2	25/11/2018		
Lady Bird		Film	2017	2	26/11/2018		
Free Jimmy		Film	2006	3	27/11/2018		
Rear Window		Film	1954	3	28/11/2018		
The Parole Officer		Film	2001	2	29/11/2018		
The Texas Chain Saw Massacre		Film	1974	3	30/11/2018		
The Texas Chainsaw Massacre 2		Film	1986	3	01/12/2018		
Leatherface: Texas Chainsaw Massacre III		Film	1990	3	02/12/2018		
Texas Chainsaw Massacre: The Next Generation		Film	1994	2	03/12/2018		
The Texas Chainsaw Massacre		Film	2003	2	03/12/2018		
The Texas Chainsaw Massacre: The Beginning		Film	2006	3	04/12/2018		
Texas Chainsaw 3D		Film	2013	3	05/12/2018		
Leatherface		Film	2017	3	06/12/2018		
Surviving Christmas		Film	2004	3	07/12/2018		
Nocturnal Animals		Film	2016	1	08/12/2018		
Okja		Film	2017	3	09/12/2018		
The Meg		Film	2018	1	10/12/2018		
Rush		Film	2013	2	11/12/2018		
No Strings Attached		Film	2011	4	11/12/2018		
From Here to Eternity		Film	1953	2	12/12/2018		
It's Complicated		Film	2009	3	13/12/2018		
Kung Fu Panda		Film	2008	3	14/12/2018		
Kung Fu Panda 2		Film	2011	3	15/12/2018		
Kung Fu Panda 3		Film	2016	2	16/12/2018		
To the Bone		Film	2017	2	17/12/2018		
Project X		Film	2012	1	18/12/2018		
Much Ado About Nothing		Film	1993	2	19/12/2018		
Over the Hedge		Film	2006	3	19/12/2018		
Upgrade		Film	2018	4	20/12/2018		
Homeward Bound: The Incredible Journey		Film	1993	2	21/12/2018		
Homeward Bound II: Lost in San Francisco		Film	1996	2	22/12/2018		
The Wicker Man		Film	1973	3	23/12/2018		
The Wicker Man		Film	2006	3	24/12/2018		
The Diary of a Teenage Girl		Film	2015	3	25/12/2018		
Stuck on You		Film	2003	2	26/12/2018		
I Know What You Did Last Summer		Film	1997	3	26/12/2018		
I Still Know What You Did Last Summer		Film	1998	2	27/12/2018		
I'll Always Know What You Did Last Summer		Film	2006	2	28/12/2018		
It Follows		Film	2014	4	29/12/2018		
Murder by Death		Film	1976	2	30/12/2018		
Jurassic Park		Film	1993	2	31/12/2018		
The Lost World: Jurassic Park		Film	1997	1	01/01/2019		
Jurassic Park III		Film	2001	3	02/01/2019		
Jurassic World		Film	2015	2	03/01/2019		
Jurassic World: Fallen Kingdom		Film	2018	2	03/01/2019		
The Darkest Minds		Film	2018	3	04/01/2019		
The Help		Film	2011	3	05/01/2019		
Ant-Man and the Wasp		Film	2018	3	06/01/2019		
Venom		Film	2018	3	07/01/2019		
Hotel Transylvania 3: Summer Vacation		Film	2018	2	08/01/2019		
Christopher Robin		Film	2018	1	09/01/2019		
Sorry to Bother You		Film	2018	1	10/01/2019		
Mystery of the Wax Museum		Film	1933	2	11/01/2019		
House of Wax		Film	1953	2	11/01/2019		
House of Wax		Film	2005	3	12/01/2019		
Animal Farm		Film	1954	1	13/01/2019		
Animal Farm		Film	1999	2	14/01/2019		
First Man		Film	2018	1	15/01/2019		
The House with a Clock in Its Walls		Film	2018	1	16/01/2019	the worst	
Kite Liberator		Film	2007	2	17/01/2019		
Moonlight		Film	2016	3	18/01/2019		
The Incredible Journey		Film	1963	2	19/01/2019		
Your Name.		Film	2016	3	19/01/2019		
How the Grinch Stole Christmas		Film	2000	2	20/01/2019		
Bird Box		Film	2018	4	21/01/2019		
Duel		Film	1971	2	22/01/2019		
Ready Player One		Film	2018	2	23/01/2019		
Serenity		Film	2005	2	24/01/2019		
Mowgli: Legend of the Jungle		Film	2018	3	25/01/2019		
Close Encounters of the Third Kind		Film	1977	3	26/01/2019		
Earthlings		Film	2005	2	26/01/2019		
E.T. the Extra-Terrestrial		Film	1982	2	27/01/2019		
Thinner		Film	1996	2	28/01/2019		
Dead Silence		Film	2007	2	29/01/2019		
In Darkness		Film	2018	3	30/01/2019		
The Grudge		Film	2004	1	31/01/2019		
The Grudge 2		Film	2006	1	01/02/2019		
The Grudge 3		Film	2009	1	02/02/2019		
Cat People		Film	1942	2	03/02/2019		
Cat People		Film	1982	2	03/02/2019		
Friend Request		Film	2016	1	04/02/2019	the worst	
Drag Me to Hell		Film	2009	3	05/02/2019		
Darkness		Film	2002	2	06/02/2019		
The Bye Bye Man		Film	2017	3	07/02/2019		
Crouching Tiger, Hidden Dragon		Film	2000	2	08/02/2019		
Dallas Buyers Club		Film	2013	3	09/02/2019		
Cursed		Film	2005	3	10/02/2019		
Paris Is Burning		Film	1990	1	11/02/2019		
The Ballad of Buster Scruggs		Film	2018	1	11/02/2019		
The Maze Runner		Film	2014	3	12/02/2019		
Maze Runner: The Scorch Trials		Film	2015	2	13/02/2019		
Maze Runner: The Death Cure		Film	2018	2	14/02/2019		
Ex Machina		Film	2014	3	15/02/2019		
Kill Order		Film	2017	1	16/02/2019		
The Craft		Film	1996	2	17/02/2019		
Carol		Film	2015	2	18/02/2019		
Weekend		Film	2011	3	19/02/2019		
Laurence Anyways		Film	2012	2	19/02/2019		
All About My Mother		Film	1999	2	20/02/2019		
Call Me by Your Name		Film	2017	2	21/02/2019		
Longtime Companion		Film	1989	2	22/02/2019		
Tangerine		Film	2015	3	23/02/2019		
The Way He Looks		Film	2014	3	24/02/2019		
Taken		Film	2008	3	25/02/2019		
Spider-Man: Into the Spider-Verse		Film	2018	2	26/02/2019		
The Handmaiden		Film	2016	2	27/02/2019		
Love		Film	2011	2	27/02/2019		
From Dusk Till Dawn		Film	1996	2	28/02/2019		
Taken 2		Film	2012	3	01/03/2019		
Taken 3		Film	2014	3	02/03/2019		
Spy Kids		Film	2001	2	03/03/2019		
Spy Kids 2: Island of Lost Dreams		Film	2002	2	04/03/2019		
Spy Kids 3-D: Game Over		Film	2003	1	05/03/2019		
Spy Kids 4: All the Time in the World		Film	2011	1	06/03/2019		
Unknown		Film	2011	3	06/03/2019		
Non-Stop		Film	2014	4	07/03/2019		
The Commuter		Film	2018	3	08/03/2019		
Steamboy		Film	2004	1	09/03/2019		
Paprika		Film	2006	2	10/03/2019		
The Hills Have Eyes		Film	1977	2	11/03/2019		
The Hills Have Eyes Part II		Film	1984	3	12/03/2019		
Melancholia		Film	2011	1	13/03/2019		
The Hills Have Eyes		Film	2006	3	14/03/2019		
The Hills Have Eyes II		Film	2007	2	14/03/2019		
Dogtooth		Film	2009	1	15/03/2019		
A Better Tomorrow		Film	1986	2	16/03/2019		
A Better Tomorrow II		Film	1987	2	17/03/2019		
A Better Tomorrow III: Love and Death in Saigon		Film	1989	2	18/03/2019		
Hard Boiled		Film	1992	4	19/03/2019		
Sunset Blvd.		Film	1950	2	20/03/2019		
Dark City		Film	1998	2	21/03/2019		
Planet Terror		Film	2007	2	22/03/2019		
Death Proof		Film	2007	2	22/03/2019		
Run All Night		Film	2015	3	23/03/2019		
The Land Before Time		Film	1988	2	24/03/2019		
Sin City		Film	2005	1	25/03/2019		
Sin City: A Dame to Kill For		Film	2014	1	26/03/2019		
The Grinch		Film	2018	2	27/03/2019		
Grave of the Fireflies	Hotaru no haka	Anime Film	1988	3	28/03/2019		
When the Wind Blows		Film	1986	2	29/03/2019		
The Plague Dogs		Film	1982	2	30/03/2019		
Crazy Rich Asians		Film	2018	3	30/03/2019		
Boy Erased		Film	2018	2	31/03/2019		
The Nutcracker and the Four Realms		Film	2018	3	01/04/2019		
L.A. Confidential		Film	1997	3	02/04/2019		
Sole Survivor		Film	1984	2	03/04/2019		
Mind Ripper		Film	1995	1	04/04/2019		
From Dusk Till Dawn 2: Texas Blood Money		Film	1999	2	05/04/2019		
From Dusk Till Dawn 3: The Hangman's Daughter		Film	1999	2	06/04/2019		
Willy Wonka & the Chocolate Factory		Film	1971	2	07/04/2019		
Charlie and the Chocolate Factory		Film	2005	2	07/04/2019		
Mortal Engines		Film	2018	2	08/04/2019		
Blade Runner		Film	1982	1	09/04/2019		
Blade Runner 2049		Film	2017	2	10/04/2019		
Trespass Against Us		Film	2016	2	11/04/2019		
Fullmetal Alchemist		Film	2017	1	12/04/2019		
Elvira: Mistress of the Dark		Film	1988	2	13/04/2019		
Elvira's Haunted Hills		Film	2001	2	14/04/2019		
Barking Dogs Never Bite		Film	2000	2	14/04/2019		
The Host		Film	2006	2	15/04/2019		
Mother	Madeo	Film	2009	3	16/04/2019		
Knocked Up		Film	2007	3	17/04/2019		
Sea Fog	Haemoo	Film	2015	3	18/04/2019		
Saturday Church		Film	2017	3	19/04/2019		
The Land Before Time II: The Great Valley Adventure		Film	1994	2	20/04/2019		
Mary Poppins Returns		Film	2018	1	21/04/2019		
The Land Before Time III: The Time of the Great Giving		Film	1995	2	22/04/2019		
Aquaman		Film	2018	1	22/04/2019		
The Land Before Time IV: Journey Through the Mists		Film	1996	2	23/04/2019		
The Land Before Time V: The Mysterious Island		Film	1997	2	24/04/2019		
Mary Queen of Scots		Film	2018	1	25/04/2019		
Closer		Film	2004	1	26/04/2019		
The Land Before Time VI: The Secret of Saurus Rock		Film	1998	2	27/04/2019		
The Darkest Hour		Film	2011	2	28/04/2019		
The Land Before Time VII: The Stone of Cold Fire		Film	2000	2	29/04/2019		
The Land Before Time VIII: The Big Freeze		Film	2001	2	30/04/2019		
The Room		Film	2003	2	30/04/2019		
The Birdcage		Film	1996	3	01/05/2019		
(500) Days of Summer		Film	2009	3	02/05/2019		
The Land Before Time IX: Journey to Big Water		Film	2002	2	03/05/2019		
The Land Before Time X: The Great Longneck Migration		Film	2003	2	04/05/2019		
The Land Before Time XI: Invasion of the Tinysauruses		Film	2005	2	05/05/2019		
Glass		Film	2019	4	06/05/2019		
The Dark Crystal		Film	1982	2	07/05/2019		
Raw Force		Film	1982	2	08/05/2019		
Serenity		Film	2019	3	08/05/2019		
Sweet Home Alabama		Film	2002	2	09/05/2019		
The Land Before Time XII: The Great Day of the Flyers		Film	2006	2	10/05/2019		
The Land Before Time XIII: The Wisdom of Friends		Film	2007	1	11/05/2019		
The Smoke		Film	2014	2	12/05/2019		
The Land Before Time XIV: Journey of the Brave		Film	2016	1	13/05/2019		
Casablanca		Film	1942	3	14/05/2019		
The Croods		Film	2013	2	15/05/2019		
The Dog Who Saved Christmas		Film	2009	2	16/05/2019		
Blue Is the Warmest Color		Film	2013	1	16/05/2019		
Joint Security Area		Film	2000	2	17/05/2019		
Virus		Film	1999	3	18/05/2019		
The Revenant		Film	2015	3	19/05/2019		
Cleopatra		Film	1963	3	20/05/2019		
Carrie		Film	1976	3	21/05/2019		
The Rage: Carrie 2		Film	1999	2	22/05/2019		
Rudolf the Black Cat		Film	2016	1	23/05/2019		
Carrie		Film	2002	3	23/05/2019		
Carrie		Film	2013	3	24/05/2019		
Tokyo!		Film	2008	2	25/05/2019		
Tokyo Gore Police		Film	2008	1	26/05/2019		
Memories of Murder		Film	2003	2	27/05/2019		
Unforgettable		Film	2017	2	28/05/2019		
Home Alone		Film	1990	2	29/05/2019		
Home Alone 2: Lost in New York		Film	1992	2	30/05/2019		
Uncle Buck		Film	1989	2	31/05/2019		
The Sixth Sense		Film	1999	3	31/05/2019		
Independence Day		Film	1996	1	01/06/2019		
Independence Day: Resurgence		Film	2016	2	02/06/2019		
Death Becomes Her		Film	1992	3	03/06/2019		
Life as We Know It		Film	2010	3	04/06/2019		
27 Dresses		Film	2008	3	05/06/2019		
The Ringer		Film	2005	4	06/06/2019		
Postcards from America		Film	1994	2	07/06/2019		
Jackie & Ryan		Film	2014	3	08/06/2019		
The Nut Job		Film	2014	2	08/06/2019		
The Nut Job 2: Nutty by Nature		Film	2017	2	09/06/2019		
The Emoji Movie		Film	2017	1	10/06/2019		
That Night		Film	1992	3	11/06/2019		
Split		Film	2016	2	12/06/2019		
Unbreakable		Film	2000	4	13/06/2019		
Moving Parts		Film	2017	1	14/06/2019		
Mars Needs Moms		Film	2011	2	15/06/2019		
I Heart Huckabees		Film	2004	2	16/06/2019		
Tidal Wave		Film	2009	1	16/06/2019		
Valentine		Film	2001	3	17/06/2019		
100 Girls		Film	2000	3	18/06/2019		
Yossi & Jagger		Film	2002	2	19/06/2019		
Yossi		Film	2012	1	20/06/2019		
Walk on Water		Film	2004	3	21/06/2019		
Powwow Highway		Film	1989	2	22/06/2019		
Geography Club		Film	2013	3	23/06/2019		
Biloxi Blues		Film	1988	3	24/06/2019		
Big Eden		Film	2000	2	24/06/2019		
Get Real		Film	1998	3	25/06/2019		
Love, Simon		Film	2018	4	26/06/2019		
Torch Song Trilogy		Film	1988	2	27/06/2019		
The Broken Hearts Club: A Romantic Comedy		Film	2000	3	28/06/2019		
Out in the Dark		Film	2012	3	29/06/2019		
Eyes Wide Open		Film	2009	2	30/06/2019		
BPM (Beats Per Minute)		Film	2017	2	01/07/2019		
Mario		Film	2018	4	01/07/2019		
Jeffrey		Film	1995	2	02/07/2019		
Being 17		Film	2016	2	03/07/2019		
Struck by Lightning		Film	2012	1	04/07/2019		
Snails in the Rain		Film	2013	2	05/07/2019		
Holding the Man		Film	2015	2	06/07/2019		
God's Own Country		Film	2017	3	07/07/2019		
Freak Show		Film	2017	2	08/07/2019		
Closet Monster		Film	2015	1	09/07/2019		
Hidden Away		Film	2014	3	09/07/2019		
Dirty Girl		Film	2010	3	10/07/2019		
Kiss Me, Guido		Film	1997	2	11/07/2019		
Trick		Film	1999	3	12/07/2019		
Lucas		Film	1986	1	13/07/2019		
The Bubble		Film	2006	2	14/07/2019		
Those People		Film	2015	2	15/07/2019		
The Normal Heart		Film	2014	2	16/07/2019		
Dumbo		Film	1941	2	17/07/2019		
Dumbo		Film	2019	1	17/07/2019		
Shazam!		Film	2019	3	18/07/2019		
Madonna and the Breakfast Club		Film	2019	1	19/07/2019		
Isn't It Romantic		Film	2019	3	20/07/2019		
What Men Want		Film	2019	3	21/07/2019		
Five Feet Apart		Film	2019	2	22/07/2019		
Level 16		Film	2018	3	23/07/2019		
The Dirt		Film	2019	2	24/07/2019		
Captain America		Film	1944	1	25/07/2019		
Howard the Duck		Film	1986	2	25/07/2019		
The Punisher		Film	1989	3	26/07/2019		
Captain America		Film	1990	2	27/07/2019		
The Fantastic Four		Film	1994	2	28/07/2019		
Blade		Film	1998	3	29/07/2019		
X-Men		Film	2000	3	30/07/2019		
Blade II		Film	2002	3	31/07/2019		
Daredevil		Film	2003	3	01/08/2019		
